train_year,2016,2017,2018,2019,2020,2021,2022,2023,Avg
2016,0.169187,0.066669,0.304763,0.2239,0.24252,0.359538,0.153459,0.293081,0.226639625
2017,0.133181,0.113459,0.248388,0.199831,0.210289,0.290761,0.117278,0.140817,0.1817505
2022,0.06871,0.037133,0.262406,0.125731,0.226025,0.322603,0.098737,0.274081,0.17692825
2023,0.077389,0.02916,0.270949,0.118113,0.232382,0.387715,0.137058,0.342006,0.19934649999999998
